t_center_s,t_pred_s,ref_bpm,final_bpm,pure_fft_bpm,motion_flag,segment
85.0,86.5,104.92188592061783,50.9033203125,111.81884765624999,1,motion
86.0,87.5,106.70493754757885,50.9033203125,115.81884765624999,1,motion
87.0,88.5,108.19732371355205,50.9033203125,115.81884765624999,1,motion
88.0,89.5,109.67063134076305,50.9033203125,119.81884765624999,1,motion
89.0,90.5,111.1396892613555,50.9033203125,119.81884765624999,1,motion
90.0,91.5,112.65560079296904,50.9033203125,119.81884765624999,1,motion
91.0,92.5,113.95397372241082,50.9033203125,123.73779296874994,1,motion
92.0,93.5,114.95657372045146,50.9033203125,123.81884765624999,1,motion
93.0,94.5,115.73018168825703,50.9033203125,123.81884765624999,1,motion
94.0,95.5,116.0,50.9033203125,123.81884765624999,1,motion
95.0,96.5,116.23836914039822,50.9033203125,127.73779296874994,1,motion
96.0,97.5,116.73836914039822,50.9033203125,127.73779296874994,1,motion
97.0,98.5,117.2264832439744,50.9033203125,127.81884765625,1,motion
98.0,99.5,117.7264832439744,50.9033203125,127.81884765625,1,motion
99.0,100.5,118.0,50.9033203125,127.81884765625,1,motion
100.0,101.5,118.23333834789912,50.9033203125,131.73779296874997,1,motion
101.0,102.5,118.73333834789914,50.9033203125,131.73779296874997,1,motion
102.0,103.5,119.0,50.9033203125,131.73779296874997,1,motion
103.0,104.5,119.0,50.9033203125,131.73779296874997,1,motion
104.0,105.5,119.0,50.9033203125,131.73779296874997,1,motion
105.0,106.5,119.0,50.9033203125,131.73779296874997,1,motion
106.0,107.5,119.22613090472379,50.9033203125,131.73779296874997,1,motion
107.0,108.5,119.72613090472379,50.9033203125,131.73779296874997,1,motion
108.0,109.5,120.23623524592412,50.9033203125,131.73779296874997,1,motion
109.0,110.5,120.73623524592412,50.9033203125,131.73779296874997,1,motion
110.0,111.5,121.0,50.9033203125,131.73779296874997,1,motion
111.0,112.5,121.23602467438083,50.9033203125,131.73779296874997,1,motion
112.0,113.5,121.73602467438083,50.9033203125,131.73779296874997,1,motion
113.0,114.5,122.0,50.9033203125,131.73779296874997,1,motion
114.0,115.5,122.22765938499617,50.9033203125,131.73779296874997,1,motion
115.0,116.5,122.96084862222955,50.9033203125,131.73779296874997,1,motion
116.0,117.5,123.73318923723338,50.9033203125,131.73779296874997,1,motion
117.0,118.5,124.2359146657792,50.9033203125,131.73779296874997,1,motion
118.0,119.5,124.96864720117146,51.26953125,131.73779296874997,1,motion
119.0,120.5,125.73273253539227,53.97412109375,128.65332031249994,1,motion
120.0,121.5,126.0,54.01611328125,127.73779296874994,1,motion
121.0,122.5,126.0,54.19921875,127.73779296874994,1,motion
122.0,123.5,125.57085380438633,56.57958984375,124.65332031249994,1,motion
123.0,124.5,124.34270647124141,60.97412109375,123.73779296874994,1,motion
124.0,125.5,122.57243924824984,60.97412109375,120.65332031249993,1,motion
125.0,126.5,120.56234493499804,67.97412109375,116.65332031249993,1,motion
126.0,127.5,118.31748402871322,67.97412109375,112.65332031249993,1,motion
127.0,128.5,115.12308461165408,114.42443847656244,114.42443847656244,0,post_rest
128.0,129.5,111.37518647994058,110.96278325989103,110.96278325989103,0,post_rest
129.0,130.5,108.36617545859139,107.51252635113181,107.51252635113181,0,post_rest
130.0,131.5,105.8838898045351,104.50514902037227,104.50514902037227,0,post_rest
131.0,132.5,103.59483757221055,103.64508870486323,103.64508870486323,0,post_rest
132.0,133.5,102.04186459678192,100.6591284859,100.6591284859,0,post_rest
133.0,134.5,100.573450628192,100.07190961681296,100.07190961681296,0,post_rest
134.0,135.5,97.84816329366647,98.73449581290315,98.73449581290315,0,post_rest
135.0,136.5,94.57570163631713,96.28701957665609,96.28701957665609,0,post_rest
136.0,137.5,92.52842005693117,95.90904825344833,95.90904825344833,0,post_rest
137.0,138.5,92.23007983271162,95.26575087233635,95.26575087233635,0,post_rest
138.0,139.5,93.20224671767723,94.24080815464615,94.24080815464615,0,post_rest
139.0,140.5,94.93840543116059,91.83021119808366,91.83021119808366,0,post_rest
140.0,141.5,96.22815071349497,90.16728575033822,90.16728575033822,0,post_rest
141.0,142.5,96.2619121673,88.15465007990407,88.15465007990407,0,post_rest
142.0,143.5,94.83527419345054,86.50840429559672,86.50840429559672,0,post_rest
143.0,144.5,91.87298218735705,86.19111361468053,86.19111361468053,0,post_rest
144.0,145.5,89.32270994634324,84.20257972015126,84.20257972015126,0,post_rest
145.0,146.5,87.63738641231761,83.90076348834394,83.90076348834394,0,post_rest
146.0,147.5,84.66167703472985,82.2854762742887,82.2854762742887,0,post_rest
147.0,148.5,81.07321138550492,81.99837979380162,81.99837979380162,0,post_rest
148.0,149.5,79.03086400214048,80.03929460223662,80.03929460223662,0,post_rest
149.0,150.5,78.02891031642304,79.76619998232675,79.76619998232675,0,post_rest
150.0,151.5,77.2619651249385,79.41488715510701,79.41488715510701,0,post_rest
151.0,152.5,77.2259139406293,78.33113690760088,78.33113690760088,0,post_rest
152.0,153.5,77.95574634402811,77.8031169497031,77.8031169497031,0,post_rest
153.0,154.5,78.95906960315996,77.41868161738182,77.41868161738182,0,post_rest
154.0,155.5,79.51136386596988,77.17767646119883,77.17767646119883,0,post_rest
155.0,156.5,79.06583924141113,76.9426217435236,76.9426217435236,0,post_rest
156.0,157.5,77.84496992506303,75.88939593813093,75.88939593813093,0,post_rest
157.0,158.5,76.32819685059754,75.52847587274807,75.52847587274807,0,post_rest
158.0,159.5,75.26693950073688,75.1730762879316,75.1730762879316,0,post_rest
159.0,160.5,75.0,74.96038998409317,74.96038998409317,0,post_rest
160.0,161.5,74.77520086552317,74.7529549238069,74.7529549238069,0,post_rest
161.0,162.5,74.04410768706732,74.5506414534075,74.5506414534075,0,post_rest
162.0,163.5,73.26890682154415,74.35332312039012,74.35332312039012,0,post_rest
163.0,164.5,72.76719953329093,73.74888928968585,73.74888928968585,0,post_rest
164.0,165.5,72.26719953329093,73.56119428532628,73.56119428532628,0,post_rest
165.0,166.5,72.0,73.24080438557371,73.24080438557371,0,post_rest
166.0,167.5,72.22594476430442,73.06226337459509,73.06226337459509,0,post_rest
167.0,168.5,72.7259447643044,72.8881305568841,72.8881305568841,0,post_rest
168.0,169.5,72.76394797629511,72.71829709376114,72.71829709376114,0,post_rest
169.0,170.5,72.26394797629511,72.0033404275332,72.0033404275332,0,post_rest
170.0,171.5,71.76199051242403,71.42980253545831,71.42980253545831,0,post_rest
171.0,172.5,71.02611221949958,71.17739201347285,71.17739201347285,0,post_rest
172.0,173.5,70.26412170707556,70.98123987245457,70.98123987245457,0,post_rest
173.0,174.5,70.0,70.71527350010584,70.71527350010584,0,post_rest
174.0,175.5,69.77930896009205,70.43176738216953,70.43176738216953,0,post_rest
175.0,176.5,69.27930896009205,70.26795925481441,70.26795925481441,0,post_rest
176.0,177.5,69.0,69.99158227409141,69.99158227409141,0,post_rest
177.0,178.5,68.76423503569038,69.85596749929965,69.85596749929965,0,post_rest
178.0,179.5,68.26423503569038,69.58637196366527,69.58637196366527,0,post_rest
179.0,180.5,68.0,69.4573711994863,69.4573711994863,0,post_rest
180.0,181.5,68.2359700851937,68.91956817083584,68.91956817083584,0,post_rest
181.0,182.5,68.96889200980661,68.65952974660325,68.65952974660325,0,post_rest
182.0,183.5,70.2089558323001,68.4025210263423,68.4025210263423,0,post_rest
183.0,184.5,71.47603390768721,68.14846720639547,68.14846720639547,0,post_rest
184.0,185.5,71.76702081778305,68.03462443157647,68.03462443157647,0,post_rest
185.0,186.5,71.0290822655809,67.92359244488273,67.92359244488273,0,post_rest
186.0,187.5,69.81657930889375,67.02318758989561,67.02318758989561,0,post_rest
187.0,188.5,68.34551514467825,66.12545643927925,66.12545643927925,0,post_rest
188.0,189.5,67.29099728358234,65.5785995806,65.5785995806,0,post_rest
189.0,190.5,66.77884750182591,65.03428602819062,65.03428602819062,0,post_rest
190.0,191.5,66.27884750182591,64.86763609306432,64.86763609306432,0,post_rest
191.0,192.5,65.77012654826612,64.70340542569743,64.70340542569743,0,post_rest
192.0,193.5,65.27012654826612,64.6101988449374,64.6101988449374,0,post_rest
193.0,194.5,64.774133441136,64.51929354285588,64.51929354285588,0,post_rest
194.0,195.5,64.274133441136,64.36196814989859,64.36196814989859,0,post_rest
195.0,196.5,63.76431424832148,64.20683180093427,64.20683180093427,0,post_rest
196.0,197.5,63.26431424832148,64.05383044827416,64.05383044827416,0,post_rest
197.0,198.5,63.0,63.90291137867169,63.90291137867169,0,post_rest
198.0,199.5,63.0,63.82268773115623,63.82268773115623,0,post_rest
199.0,200.5,63.0,63.74444481255534,63.74444481255534,0,post_rest
200.0,201.5,63.0,63.530804616935356,63.530804616935356,0,post_rest
201.0,202.5,63.0,63.31904854894087,63.31904854894087,0,post_rest
