case_name,trial_idx,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng3,68,post_recovery_blend,15.0,4.0,10.0,13,-2.5,3.474993866728849,2.8705321614873753,1.9754638671875,3.474993866728849,2.8705321614873753,1.9754638671875,3.474993866728849,129,52,77,False
multi_tiaosheng3,69,post_motion_slew,20.0,4.0,10.0,13,-1.5,5.00958489752435,3.7387789940649223,1.857008713942308,5.00958489752435,3.7387789940649223,1.857008713942308,5.00958489752435,129,52,77,False
multi_tiaosheng3,70,post_recovery_blend,25.0,2.0,15.0,15,-1.0,4.370149062951715,3.3212172459091636,1.7679912860576934,4.370149062951715,3.3212172459091636,1.7679912860576934,4.370149062951715,129,52,77,False
multi_tiaosheng3,71,post_recovery_blend,70.0,0.5,5.0,13,1.5,5.288442976238857,3.807493427435209,1.614548903245193,5.288442976238857,3.807493427435209,1.614548903245193,5.288442976238857,129,52,77,False
multi_tiaosheng3,72,post_recovery_blend,15.0,5.0,12.0,31,-1.5,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,129,52,77,False
multi_tiaosheng3,73,post_recovery_blend,15.0,5.0,12.0,41,-1.5,3.6244488511305946,2.8204396273463623,1.6298875075120196,3.6244488511305946,2.8204396273463623,1.6298875075120196,3.6244488511305946,129,52,77,False
multi_tiaosheng3,74,post_recovery_blend,10.0,8.0,15.0,15,20.0,34.477995637175326,23.383876120397286,6.956045297475963,34.477995637175326,23.383876120397286,6.956045297475963,34.477995637175326,129,52,77,False
multi_tiaosheng3,75,post_recovery_blend,100.0,4.0,12.0,21,0.5,4.048158613605757,3.2661110886445215,2.1080791766826925,4.048158613605757,3.2661110886445215,2.1080791766826925,4.048158613605757,129,52,77,False
multi_tiaosheng3,76,post_motion_slew,15.0,3.0,6.0,13,-1.5,4.2631931057224035,3.32273687318314,1.9301382211538465,4.2631931057224035,3.32273687318314,1.9301382211538465,4.2631931057224035,129,52,77,False
multi_tiaosheng3,77,post_recovery_blend,10.0,6.0,10.0,31,20.0,34.477995637175326,23.32567980862403,6.811673677884617,34.477995637175326,23.32567980862403,6.811673677884617,34.477995637175326,129,52,77,False
multi_tiaosheng3,78,post_motion_slew,20.0,10.0,15.0,11,-1.5,5.147787515219156,3.770172828851744,1.730243389423077,5.147787515219156,3.770172828851744,1.730243389423077,5.147787515219156,129,52,77,False
multi_tiaosheng3,79,post_recovery_blend,15.0,3.0,4.0,41,20.0,33.465008624188314,22.582634977592054,6.468350923978367,33.465008624188314,22.582634977592054,6.468350923978367,33.465008624188314,129,52,77,False
