Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
1.459,874.25232,957.10754,1687.2406,1843.56689,-0.07044,-0.09058,0.99771,0.245,0.123,-0.648,6416,55152,80039
1.459,874.25232,957.10754,1686.78284,1843.56689,-0.06983,-0.08911,0.99857,0.455,0.175,-0.473,6419,55153,80040
1.459,874.25232,957.10754,1686.70654,1843.56689,-0.0669,-0.08667,0.99551,0.473,0.0,-0.473,6419,55153,80040
1.459,874.40491,957.10754,1686.78284,1843.56689,-0.06665,-0.08643,0.996,0.56,0.07,-0.263,6424,55155,80042
1.459,874.40491,957.10754,1686.47766,1843.56689,-0.06543,-0.08521,0.99527,0.508,0.088,-0.333,6424,55155,80042
1.459,874.40491,957.10754,1686.70654,1843.4906,-0.0669,-0.08423,0.99722,0.193,0.14,-0.088,6427,55153,80047
1.459,874.40491,957.10754,1686.85913,1843.56689,-0.06885,-0.08521,0.99771,-0.07,0.088,-0.158,6427,55153,80047
1.459,874.40491,957.10754,1686.70654,1843.56689,-0.06555,-0.08472,0.99857,0.035,0.035,-0.035,6427,55154,80050
1.459,874.40491,957.10754,1686.78284,1843.56689,-0.06616,-0.08496,0.99893,-0.035,0.053,0.035,6427,55154,80050
1.459,874.40491,957.10754,1687.16431,1843.71948,-0.06604,-0.08655,0.99686,-0.053,0.123,0.105,6429,55152,80054
1.459,874.40491,957.10754,1686.78284,1843.71948,-0.06568,-0.08802,0.99393,-0.21,0.175,0.105,6429,55152,80054
1.459,874.40491,957.10754,1686.70654,1843.64319,-0.06653,-0.08777,0.9949,-0.28,0.35,0.07,6433,55156,80058
1.459,874.40491,957.10754,1687.2406,1843.71948,-0.0669,-0.08582,0.99722,-0.228,0.438,-0.35,6433,55156,80058
1.459,874.25232,957.10754,1686.93542,1843.64319,-0.06946,-0.08435,0.99893,-0.088,0.298,-0.105,6439,55158,80063
1.459,874.25232,957.10754,1686.55396,1843.79578,-0.06873,-0.08423,0.99808,-0.385,0.158,-0.245,6439,55158,80063
1.459,874.25232,957.10754,1686.93542,1843.79578,-0.06873,-0.08496,0.99796,-0.403,0.175,-0.315,6439,55157,80065
